,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
526,인공지능데이터 관리,씨드로닉스,데이터 엔지니어,,,"서울 강남구 테헤란로20길 20, 삼정빌딩 3층",,"['Git', 'Django', 'ExpressJS', 'Linux', 'MongoDB', 'React', 'Node.js', 'AWS', 'Docker', 'PostgreSQL', 'ROS', 'Vue.JS']",https://www.wanted.co.kr///wd/150246
527,데이터분석가 - 석사/박사,넛지헬스케어(캐시워크),"데이터 엔지니어, 데이터 사이언티스트",,,서울 서울특별시 강남구 역삼로1길 8,,"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']",https://www.wanted.co.kr///wd/157552
528,Data Scientist,에스아이에이,"데이터 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",2023-05-31,,대전 대전광역시 유성구 유성대로 1689번길 70,,[],https://www.wanted.co.kr///wd/154846
529,데이터 엔지니어,딥세일즈,데이터 엔지니어,,,"서울 서울시 강남구 대치동 944-31, 10층",,"['Github', 'MySQL', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS']",https://www.wanted.co.kr///wd/147359
530,해외기술지원 담당자,지엠디소프트(GMDSOFT),"데이터 엔지니어, 개발 매니저, 기술지원",,,"경기 경기 성남시 분당구 판교역로235, H스퀘어 N동 2층",,"['고객 지원', '기술 문서', '고객 관계', '기술 교육', '기술 관리', '모바일 기술', '교육 기술', 'EnCase', '교육 관리', '강의', 'Notion']",https://www.wanted.co.kr///wd/152489
531,연구소 회로설계 및 FPGA 로직 설계 신입(병특 가능),이엘피,"데이터 엔지니어, 개발 매니저, 하드웨어 엔지니어",,,경기 경기 화성시 삼성1로2길 29,,"['Git', 'GitLab', 'C#', 'Python', '영상', 'OpenCV']",https://www.wanted.co.kr///wd/155759
532,[데이원컴퍼니] 주니어 데이터 엔지니어,데이원컴퍼니,데이터 엔지니어,,,"서울 서울특별시 강남구 테헤란로 231, 센터필드 WEST 6~7층",,"['Confluence', 'Github', 'JIRA', 'Slack', 'HTML', 'Python', 'Scala', 'SQL', 'ETL', 'GCP', 'GCPs']",https://www.wanted.co.kr///wd/162359
533,데이터 엔지니어,교보문고,데이터 엔지니어,,,"서울 서울특별시 마포구 월드컵북로54길 25 (상암동), DMC푸르지오시티 7층 교보문고 DT추진실",,"['Git', 'SQL', 'AWS', 'NoSQL', 'Spring Framework']",https://www.wanted.co.kr///wd/84863
534,Technical Director (영상 제작),지오코리아,"데이터 엔지니어, 기술지원, VR 엔지니어",,,서울 서울 마포구 성암로 189 DMC 타워,,[],https://www.wanted.co.kr///wd/143131
535,데이터 분석가,기어세컨드,"데이터 엔지니어, 기술지원",,,"서울 서울특별시 마포구 홍익로 25, 3층",,"['GraphQL', 'React', 'SASS', 'Redux']",https://www.wanted.co.kr///wd/156620
536,인덱스개발팀 - 지수개발자,에프앤가이드,"데이터 엔지니어, 기술지원, 데이터 사이언티스트",2023-05-31,,서울 서울특별시 강서구 마곡중앙2로 61,,['SQL'],https://www.wanted.co.kr///wd/151474
537,인덱스개발팀 채권지수 개발자,에프앤가이드,"데이터 엔지니어, 기술지원, 데이터 사이언티스트",2023-05-31,,서울 서울특별시 강서구 마곡중앙2로 61,,['SQL'],https://www.wanted.co.kr///wd/31594
538,Data Quality Specialist,토스페이먼츠,"데이터 엔지니어, 빅데이터 엔지니어",,,서울 서울특별시 강남구 테헤란로 131 한국지식재산센터 14-15층 토스페이먼츠(주),,"['SQL', 'Data Analysis', 'Tableau']",https://www.wanted.co.kr///wd/160419
539,데이터 분석을 통한 가치평가 모델 구축,모멘티움,"데이터 엔지니어, 데이터 사이언티스트, 빅데이터 엔지니어",,,서울 여의도 오투타워,,"['Git', 'JavaScript', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/134294
540,SQA 엔지니어,크리에이츠,"데이터 엔지니어, QA,테스트 엔지니어, 빅데이터 엔지니어",,,서울 서울시 강남구 봉은사로 51길 31,,"['GUI', 'Unity3D']",https://www.wanted.co.kr///wd/161896
541,데이터 분석 개발자,도킹블록,데이터 엔지니어,,,서울 서울특별시 강남구,,"['MongoDB', 'MySQL', 'Oracle', 'AWS', 'EC2']",https://www.wanted.co.kr///wd/137036
542,S 그룹 시스템 관제 및 운영,위앤유텍,"시스템,네트워크 관리자, QA,테스트 엔지니어, 기술지원",,,서울 강북구 도봉로 238,,[],https://www.wanted.co.kr///wd/142621
543,시스템 신입 운영자,솔박스,"시스템,네트워크 관리자, 기술지원",,,"서울 서울특별시 강남구 테헤란로 124, 10층 (역삼동, 삼원타워)",,[],https://www.wanted.co.kr///wd/132680
544,기술지원 엔지니어 - 판교,지란지교데이터,"시스템,네트워크 관리자, 기술지원",2023-05-31,,경기 경기도 성남시 수정구 금토로 80번길 37 인피니티타워 W동 10층,,"['Confluence', 'Github', 'GitLab', 'JIRA', 'Java', 'JavaScript', 'C', 'C++', 'RDBMS', 'JSP', 'MFC', 'Spring Boot']",https://www.wanted.co.kr///wd/162165
545,기술지원 엔지니어 신입 - 대전,지란지교데이터,"시스템,네트워크 관리자, 기술지원",2023-05-31,,대전 유성구 테크노 3로 65 한신에스메카 604,,"['Confluence', 'Github', 'GitLab', 'JIRA', 'Java', 'JavaScript', 'C', 'C++', 'RDBMS', 'JSP', 'MFC', 'Spring Boot']",https://www.wanted.co.kr///wd/160496
546,[경영지원부] 사내 IT 네트워크 관리자,이글루코퍼레이션,"시스템,네트워크 관리자, 기술지원, ERP전문가",2023-05-31,,서울 서울 송파구 문정동 정의로 8길 7 한스빌딩 ㈜이글루코퍼레이션,,['MSSQL'],https://www.wanted.co.kr///wd/158496
547,정보 보안 운영 관리 엔지니어,이스트게임즈,"시스템,네트워크 관리자, 보안 엔지니어",,,서울 서울 서초구 반포대로3 이스트빌딩 5층(서초동 1464-30),,"['Linux', 'C#', 'PHP', 'Python', 'Windows 서버', 'Bash', 'IPS']",https://www.wanted.co.kr///wd/133195
548,[플랫폼 개발] 빅데이터 시스템 엔지니어,피플앤드테크놀러지,"시스템,네트워크 관리자, QA,테스트 엔지니어, 빅데이터 엔지니어",,,서울 삼성로95길 27 영창빌딩 5층,,[],https://www.wanted.co.kr///wd/79517
549,[컬리] 네트워크 운영 담당 (신입가능 ~ 5년 이하),컬리,"시스템,네트워크 관리자",,,서울 서울특별시 강남구 테헤란로 133,,[],https://www.wanted.co.kr///wd/125950
550,"오픈소스 미들웨어 (JBoss, Apache, Tomcat ) 기술지원",락플레이스,"시스템,네트워크 관리자, 기술지원, DBA",,,서울 서울시 종로구 종로33길 15 연강빌딩 5층,,"['React', 'Spring Framework']",https://www.wanted.co.kr///wd/109020
551,오픈소스 클라우드 컨테이너 솔루션(Redhat Openshift) 기술지원,락플레이스,"시스템,네트워크 관리자, 기술지원",,,서울 서울시 종로구 종로33길 15 연강빌딩 5층,,"['React', 'Spring Framework']",https://www.wanted.co.kr///wd/109016
552,오픈소스 시스템 엔지니어,락플레이스,"시스템,네트워크 관리자, 기술지원, DBA",,,서울 서울시 종로구 종로33길 15 연강빌딩 5층,,"['React', 'Spring Framework']",https://www.wanted.co.kr///wd/108896
553,보안솔루션 기술지원 엔지니어,휴네시온,"시스템,네트워크 관리자, 기술지원, 보안 엔지니어",2023-05-31,,"서울 서울시 강남구 학동로97길 20, (청담동, 성호빌딩) 2,3층",,['C / C++'],https://www.wanted.co.kr///wd/153643
554,시스템 엔지니어,이케이(키드키즈),"시스템,네트워크 관리자",,,"경기 경기도 용인시 기흥구 기흥로 58,  B동 29층(구갈동, 기흥 ICT밸리 SK V1)",,[],https://www.wanted.co.kr///wd/93845
555,네트워크 엔지니어,위버시스템즈,"시스템,네트워크 관리자, 기술지원",2023-07-04,,"서울 서울시 서초구 동작대로 114, 9층(방배동, 유문빌딩)",,[],https://www.wanted.co.kr///wd/159330
556,보안 엔지니어,위버시스템즈,"시스템,네트워크 관리자, 기술지원, 보안 엔지니어",2023-07-04,,"서울 서울시 서초구 동작대로 114, 9층(방배동, 유문빌딩)",,[],https://www.wanted.co.kr///wd/159325
557,전산관리 담당자,레티널,"시스템,네트워크 관리자",,,"경기 경기도 안양시 동안구 부림로 170번길 41-10 3, 4층",,"['Git', '.NET', 'C#', 'Python', 'AR']",https://www.wanted.co.kr///wd/137119
558,Field Engineer,모니터랩,"시스템,네트워크 관리자, 기술지원, 보안 엔지니어",,,"서울 서울특별시 구로구 디지털로 27가길 27 아남빌딩 8, 9층",,"['Git', 'React', 'VueJS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'Go']",https://www.wanted.co.kr///wd/159110
559,네트워크 엔지니어 및 전산 자원/서비스 관리자,페리지에어로스페이스,"시스템,네트워크 관리자, 하드웨어 엔지니어",2023-06-19,,서울 서울시 강남구 역삼로17길 33,,"['Git', 'Linux', 'React', 'CSS', 'HTML', 'JavaScript', 'Python', '유지보수', 'Bash', '네트워크 설계', '네트워크 관리']",https://www.wanted.co.kr///wd/161278
560,공동주택 전산 프로그램 운영 및 고객 지원,현대전산,"시스템,네트워크 관리자, ERP전문가",,,"인천 인천광역시 연수구 송도미래로 30, (송도동, 송도BRC스마트밸리지식산업센터)  A동 210호",,"['Excel', '고객 지원', 'ERP 소프트웨어']",https://www.wanted.co.kr///wd/159404
561,IT Infrastructure Management (신입),네비웍스,"시스템,네트워크 관리자, 보안 엔지니어, 하드웨어 엔지니어",,,경기 경기도 안양시 동안구 부림로170번길 41-18,,[],https://www.wanted.co.kr///wd/159083
562,DellEMC 시스템 구성 유지보수,율호,"시스템,네트워크 관리자, 기술지원",,,"서울 서울특별시 서초구 서초대로6, 13층",,['VM웨어'],https://www.wanted.co.kr///wd/117133
563,프로덕트 매니저 (PM/서비스 기획),데얼스,"개발 매니저, 기술지원, 프로덕트 매니저",,,"서울 서울시 서초구 서초대로46길 74, 5층",,[],https://www.wanted.co.kr///wd/120600
564,ML Product Manager(Native English Proficiency),로보코리아(LOVO Korea),"개발 매니저, 프로덕트 매니저",,,서울 강남구 테헤란로 25길 7 창성재단빌딩,,"['JIRA', 'Notion']",https://www.wanted.co.kr///wd/158490
565,OpenAI 연구 및 개발자 (전문연구요원 우대),씨알에스큐브(CRScube),개발 매니저,2023-05-31,,"서울 양화로 19, 합정오피스빌딩 4층",,"['HTML', 'JavaScript', 'Python', 'AWS', 'API', 'Spring Framework']",https://www.wanted.co.kr///wd/152615
566,[로봇개발본부] 자율주행 로봇 전장 기술자 (전문연구요원 가능),트위니,"개발 매니저, 하드웨어 엔지니어",,,대전 가정북로 90,,[],https://www.wanted.co.kr///wd/124803
567,[Product] 글로벌 금융 서비스 모니터링 담당자 (Global Svc Ops),센트비(Sentbe),"개발 매니저, 기술지원",,,"서울 강남구 테헤란로431, 12층 (삼성동, 저스트코 타워점)",,[],https://www.wanted.co.kr///wd/14134
568,SW개발 사업 관리 및 운영,뎁스,개발 매니저,2023-05-31,,"경남 경남 창원시 의창구 창이대로 95번길3, 3층",,"['Git', 'Github', 'Android', 'iOS', 'React', 'JavaScript', 'Kotlin', 'Python']",https://www.wanted.co.kr///wd/141355
569,Product Manager(주니어),태그바이컴퍼니 (TAGby),"개발 매니저, 프로덕트 매니저",2023-07-31,,"서울 서울특별시 강남구 테헤란로7길 22, 10층",,"['Git', 'Django', 'Flask', 'MongoDB', 'MySQL', 'Python', 'AWS', 'FastAPI']",https://www.wanted.co.kr///wd/161484
570,QA 플랫폼 개발자,큐브리드,"QA,테스트 엔지니어",,,서울 서울특별시 강남구 삼성로86길,,"['Git', 'Linux', 'C / C++', 'Java', 'SQL']",https://www.wanted.co.kr///wd/120798
571,QA Engineer,다비오(Dabeeo),"QA,테스트 엔지니어",,,"서울 서울 마포구 마포대로 144 (공덕동, 마포T타운) 8층",,"['React', 'JavaScript', 'Kotlin', 'Swift', 'TypeScript', 'Rx', 'React.js']",https://www.wanted.co.kr///wd/142205
572,QA Analyst(신입 가능),이제이엔(EJN),"QA,테스트 엔지니어",,,서울 서울특별시 강남구 테헤란로 504,,[],https://www.wanted.co.kr///wd/65170
573,"[계약직]QA 담당자(1년, 데이터 수집/분류/정제)",라이언로켓,"QA,테스트 엔지니어",,,"서울 서울특별시 중구 남대문로 109, 국제빌딩 12층",,"['React', 'TypeScript']",https://www.wanted.co.kr///wd/160309
574,[CLO/ 제주] QA Engineer,클로버추얼패션(CLOVirtualFashion),"QA,테스트 엔지니어",,,제주 제주특별자치도 제주시 첨단로 213-3 스마트빌딩,,"['Github', 'JIRA', 'Slack', 'Pytorch', 'Docker']",https://www.wanted.co.kr///wd/131418
575,모바일 앱 QA 테스터,아이디아이디,"QA,테스트 엔지니어",,,서울 서울시 강남구 학동로168 2층,,[],https://www.wanted.co.kr///wd/162595
576,QA 엔지니어,아이포트폴리오,"QA,테스트 엔지니어",,,"서울 서울특별시 중구 남대문로 9길 24, 11층 (다동, 패스트파이브 타워)",,[],https://www.wanted.co.kr///wd/150927
577,[QA] 소프트웨어 테스트 (1년 계약직),큐픽스,"QA,테스트 엔지니어",,,"경기 경기 성남시 분당구 대왕판교로 670, 유스페이스2 B동 605호",,"['Android', 'AngularJS', 'Ruby on Rails', 'Python', 'Swift', 'TypeScript', 'AWS', 'C++', 'Flutter']",https://www.wanted.co.kr///wd/143201
578,[100억↑투자] QA 담당자,애니펜,"QA,테스트 엔지니어",,,"경기 경기도 성남시 분당구 분당내곡로 131, 7층(백현동, 판교테크원)",,"['MySQL', 'CSS', 'HTML', 'JavaScript', 'Spring Framework']",https://www.wanted.co.kr///wd/145498
579,[병역특례_현역/보충역] QA 엔지니어,넛지헬스케어(캐시워크),"QA,테스트 엔지니어, 기술지원",,,서울 서울특별시 강남구 역삼로1길 8,,"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']",https://www.wanted.co.kr///wd/126393
580,기술지원 신입,텔코웨어,"QA,테스트 엔지니어, 기술지원",,,서울 서울특별시 서초구 법원로3길,,"['Linux', 'C', 'UNIX']",https://www.wanted.co.kr///wd/144795
581,개발본부 QA팀 테스트 엔지니어,유진로봇,"QA,테스트 엔지니어",2023-06-09,,인천 인천광역시 연수구 하모니로 187번길 33,,"['Git', 'C++', 'API']",https://www.wanted.co.kr///wd/159552
582,QA 엔지니어,스윗코리아,"QA,테스트 엔지니어",,,"서울 서울시 강남구 삼성로 570, 6층 (삼성동, 석천빌딩)",,[],https://www.wanted.co.kr///wd/147047
583,QA 매니저 (QA Manager),데브즈유나이티드게임즈,"QA,테스트 엔지니어",,,"서울 강남구 학동로 105 2층(논현동, 제이빌딩)",,[],https://www.wanted.co.kr///wd/158969
584,[플랫폼 개발] 자사 솔루션 QA,피플앤드테크놀러지,"QA,테스트 엔지니어",,,서울 삼성로95길 27 영창빌딩 5층,,[],https://www.wanted.co.kr///wd/71437
585,QA Engineer (신입),코코지,"QA,테스트 엔지니어",,,"서울 서울특별시 강남구 언주로171길 16 (2층,5층)",,"['iOS', 'MongoDB', 'React', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'Docker', 'NodeJS', 'RabbitMQ', 'React.js', 'React Native', 'Spring Boot']",https://www.wanted.co.kr///wd/161042
586,QA,위메이드(WEMADE),"QA,테스트 엔지니어",2023-06-29,,경기 경기도 성남시 분당구 대왕판교로 644번길 49 위메이드타워,,[],https://www.wanted.co.kr///wd/50816
587,"QA,테스트 엔지니어",실크로드소프트,"QA,테스트 엔지니어",,,"경기 수원시 영통구 광교로 105, R&DB센터 707,708호",,"['SAP', 'Linux', 'MySQL', 'Oracle', 'C / C++', 'JavaScript', 'Python', 'SQL', '빅 데이터', 'AWS', 'C++', 'SQL 서버', 'PostgreSQL', 'Spring Framework', 'Sybase', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/149484
588,QA 엔지니어,칠로엔,"QA,테스트 엔지니어",2023-07-25,,"서울 서울특별시 서초구 서초중앙로87, 예성빌딩 6층",,"['Git', 'Linux', 'MySQL', 'AWS', 'Docker']",https://www.wanted.co.kr///wd/157138
589,[100억↑투자] QA(Quality Assurance Analyst),클라썸,"QA,테스트 엔지니어",,,서울 강남구 테헤란로2길 27 비전타워 1401호,,[],https://www.wanted.co.kr///wd/31024
590,QA 엔지니어,지이모션,"QA,테스트 엔지니어",2023-06-14,,서울 서울 강남구 선릉로99길 12 모노타워,,"['Github', 'Google Apps', 'Notion']",https://www.wanted.co.kr///wd/159845
591,QA 신입,뉴링크,"QA,테스트 엔지니어",,,서울 학동로31길 12 벤쳐캐슬 5층,,"['Android', 'Java', 'Kotlin', 'MVC', 'MVVM', 'Gradle']",https://www.wanted.co.kr///wd/115693
592,QA Test Engineer,모라이(MORAI),"QA,테스트 엔지니어",,,"서울 서울시 강남구 테헤란로 415, 404호",,"['Git', 'AWS', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/88547
593,QA,앤유,"QA,테스트 엔지니어",,,서울 서울시 서초구 서초중앙로 14 6층,,[],https://www.wanted.co.kr///wd/101397
594,웹접근성 Analyst,포그리트,"QA,테스트 엔지니어, 웹 퍼블리셔",,,"경기 경기도 성남시 분당구 대왕판교로 660 (삼평동, 유스페이스1) A동 302호",,"['CSS', 'HTML']",https://www.wanted.co.kr///wd/35459
595,QA 테스터 엔지니어,와이즈스톤티,"QA,테스트 엔지니어",,,"서울 서울 서초구 서운로 34 (서초동, 우정빌딩)",,[],https://www.wanted.co.kr///wd/158934
596,QA 엔지니어,위밋모빌리티,"QA,테스트 엔지니어",,,서울 서울특별시 마포구 백범로31길 21 서울창업허브 본관 615호,,"['Git', 'Azure', 'MongoDB', 'Pytorch', 'Scikit-Learn', 'Tensorflow', 'Node.js', 'Python', 'C', 'AWS', 'C++', 'Docker', 'Shell Scripting', 'PostgreSQL', 'Golang', 'React.js', 'Next.js', 'Restful API']",https://www.wanted.co.kr///wd/145271
597,QC 부산근무(계약직 1년),아비커스,"QA,테스트 엔지니어",,,"부산 부산광역시 동구 중앙대로236번길 7-12, 7층 아비커스",,"['JIRA', 'Python', 'Notion']",https://www.wanted.co.kr///wd/157896
598,Field Engineer / 기술지원 영어권 담당자,모니터랩,"QA,테스트 엔지니어, 기술지원, 보안 엔지니어",,,"서울 서울특별시 구로구 디지털로 27가길 27 아남빌딩 8, 9층",,"['Git', 'React', 'VueJS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'Go']",https://www.wanted.co.kr///wd/149094
599,매니지드 서비스,이노그리드,"QA,테스트 엔지니어, 프로덕트 매니저",,,"서울 서울시 중구 을지로 100, B동 10층 (파인에비뉴)",,"['CSS', 'HTML', 'JavaScript', 'Blockchain']",https://www.wanted.co.kr///wd/137816
600,APM 솔루션 컨설팅 엔지니어,엑셈,기술지원,,,서울 서울 강서구 마곡중앙8로5길 40 (마곡동) (주)엑셈,,"['React', 'VueJS', 'CSS', 'HTML', 'Java', 'JavaScript', 'TypeScript', 'Spring Framework', 'Kubernetes']",https://www.wanted.co.kr///wd/121178
601,DB & 데이터 Engineer,비트나인,"기술지원, 빅데이터 엔지니어, DBA",2023-06-26,,서울 서울특별시 강남구 테헤란로 516 4층,,"['서비스 관리', '시스템 관리']",https://www.wanted.co.kr///wd/151239
602,보안 관제(운영/분석)-신입,위드네트웍스,"기술지원, 보안 엔지니어",,,경기 경기 과천시 새술막길 39,,"['MySQL', 'Node.js', 'PHP', 'CodeIgniter', 'Vue.JS']",https://www.wanted.co.kr///wd/102415
603,솔루션 기술지원,넷스루,기술지원,,,"서울 성동구 광나루로8길 31, 성수SKV1센터 2동 7층",,"['Linux', 'Python']",https://www.wanted.co.kr///wd/155487
604,IT 인프라팀(신입),메디앙스,"기술지원, ERP전문가",,,"서울 서울 강남구 논현로 64길4 5,6층",,[],https://www.wanted.co.kr///wd/151904
605,[리서치솔루션팀] 응용 프로그램 개발자,에프앤가이드,기술지원,2023-06-16,,서울 서울특별시 강서구 마곡중앙2로 61,,['SQL'],https://www.wanted.co.kr///wd/162148
606,Site Engineer(계약직 1년),아비커스,기술지원,,,"서울 서울특별시 강남구 역삼동 823-16, 11층",,"['JIRA', 'Python', 'Notion']",https://www.wanted.co.kr///wd/157897
607,프롬프트 엔지니어 초빙,오투오,기술지원,,,서울 서울시 서초구 매헌로 8길 47 AI 양재 허브( 희경 재단 B동) 203호,,"['Git', 'Github', 'Linux', 'MySQL', 'C / C++', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/159068
608,"PCB약품 개발, 제조업, 화학약품",엔알지엔씨,기술지원,,,경기 경기도 수원시 영통구 망포동 5-8 엔알지엔씨,,[],https://www.wanted.co.kr///wd/87790
609,데이터 사이언티스트,아템드메라키,데이터 사이언티스트,,,서울 원격 근무,,[],https://www.wanted.co.kr///wd/119383
610,Data Scientist(데이터 사이언티스트)(전문연구요원 가능),휴이노,데이터 사이언티스트,,,"서울 서울시 강남구 압구정로 79길19, 3,4층",,[],https://www.wanted.co.kr///wd/149881
611,데이터 사이언티스트,교보문고,데이터 사이언티스트,,,"서울 서울특별시 마포구 월드컵북로54길 25 (상암동), DMC푸르지오시티 7층 교보문고 DT추진실",,"['Git', 'SQL', 'AWS', 'NoSQL', 'Spring Framework']",https://www.wanted.co.kr///wd/84866
612,AI/빅데이터 - Data Scientist 연구개발,비스텔리젼스,데이터 사이언티스트,,,서울 서울시 서초구 바우뫼로128 비스텔타워,,"['Confluence', 'Git', 'Github', 'JIRA', 'Agile']",https://www.wanted.co.kr///wd/162457
613,양자컴퓨팅 부문 개발자 (신입 지원 가능),노르마,보안 엔지니어,,,"서울 서울 성동구 아차산로15길 52 삼환디지털벤처타워 제202호, 203호",,"['Linux', 'Pytorch', 'Python', 'C']",https://www.wanted.co.kr///wd/155672
614,IT Operation Manager,클로버추얼패션(CLOVirtualFashion),보안 엔지니어,,,서울 서울 강남구 테헤란로 152,,"['Github', 'JIRA', 'Slack', 'Pytorch', 'Docker']",https://www.wanted.co.kr///wd/135969
615,보안 전문 엔지니어(전문연구요원 가능),래브라도랩스,보안 엔지니어,2023-06-30,,"서울 서울특별시 서초구 반포대로 20, 3,4층",,"['Git', 'Linux', 'MySQL', 'C / C++', 'HTML', 'Java', 'Python', 'AWS', 'Docker', 'CSS3', 'Nginx', 'Spring Boot']",https://www.wanted.co.kr///wd/158814
616,보안 솔루션 구축 엔지니어(신입),쿤텍,보안 엔지니어,,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/160433
617,보안사업부 서버·네트워크·보안 엔지니어,데이타월,보안 엔지니어,,,"서울 서울특별시 금천구 서부샛길 606, A동2009호 (가산동, 대성디폴리스지식산업센터)",,['Linux'],https://www.wanted.co.kr///wd/153648
618,서비스 기획자,보이저엑스(VoyagerX),프로덕트 매니저,,,서울 서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,,[],https://www.wanted.co.kr///wd/141545
619,HW개발,바텍,"프로덕트 매니저, 임베디드 개발자, 하드웨어 엔지니어",,,경기 경기도 화성시 삼성1로 2길,,[],https://www.wanted.co.kr///wd/114107
620,[쿠팡페이] Product Manager (Fintech Product),쿠팡,프로덕트 매니저,,,서울 서울특별시 송파구 송파대로 570,,[],https://www.wanted.co.kr///wd/162211
621,[보충역 4급] 프로덕트 매니저 / 기획자,오픈갤러리,프로덕트 매니저,2023-06-07,,"서울 서울 성동구 성수동1가 656-75, 헤이그라운드 8층",,[],https://www.wanted.co.kr///wd/143476
622,프로덕트 매니저 / 기획자,오픈갤러리,프로덕트 매니저,2023-06-07,,"서울 서울 성동구 성수동1가 656-75, 헤이그라운드 8층",,[],https://www.wanted.co.kr///wd/48572
623,[병역특례] HW 엔지니어 기구/회로/기계설계 전문연구요원,볼트앤너트,"임베디드 개발자, 하드웨어 엔지니어",,,"서울 서울특별시 마포구 마포대로122, 13층(공덕동, 신용보증기금)",,[],https://www.wanted.co.kr///wd/103801
624,임베디드 소프트웨어 개발자,지큐브,임베디드 개발자,,,경기 경기도 성남시,,"['Git', 'Django', 'React', 'Python', 'AWS', 'Docker']",https://www.wanted.co.kr///wd/124776
625,[연구실험장비] 하드웨어/펌웨어 개발자,제이오텍,"임베디드 개발자, 하드웨어 엔지니어",,,대전 대전광역시 유성구 테크노2로 153,,"['.NET', 'iOS', 'C / C++', 'PHP', 'C', '하드웨어', 'C++', '서버', '프로그램 관리', '펌웨어', '임베디드 시스템', '임베디드 소프트웨어', '회로', '서버 관리', '회로 설계', '안드로이드 개발', 'iOS 개발']",https://www.wanted.co.kr///wd/143155
626,FW 펌웨어 개발자,슈프리마,임베디드 개발자,,,경기 경기 성남시 분당구 정자일로 248,,"['C#', 'CSS', 'HTML', 'JavaScript', 'jQuery']",https://www.wanted.co.kr///wd/144671
627,하드웨어 개발자 (제품개발),클로마운트,"임베디드 개발자, 하드웨어 엔지니어",2023-06-30,,"서울 금천구 가산디지털2로 67, 에이스하이엔드7차타워 1003호",,[],https://www.wanted.co.kr///wd/162396
628,하드웨어 엔지니어 (연구소 근무),나노텍,"임베디드 개발자, 하드웨어 엔지니어",2023-06-30,,경기 성남시 분당구 삼평동 678 삼환하이펙스,,[],https://www.wanted.co.kr///wd/141825
629,[병역특례] 자율주행 부문 S/W 개발자,베이리스,빅데이터 엔지니어,,,"경기 경기도 성남시 수정구 창업로42, 경기기업성장센터 725호",,[],https://www.wanted.co.kr///wd/142318
630,전력전자 하드웨어 엔지니어,에타일렉트로닉스 ,하드웨어 엔지니어,,,"서울 서울 용산구 원효로 271, 삼이빌딩 6층",,"['Git', 'JavaScript', 'Node.js', 'SQL', 'AWS']",https://www.wanted.co.kr///wd/144421
631,무선전력전송 하드웨어 엔지니어,에타일렉트로닉스 ,하드웨어 엔지니어,,,"서울 서울 용산구 원효로 271, 삼이빌딩 6층",,"['Git', 'JavaScript', 'Node.js', 'SQL', 'AWS']",https://www.wanted.co.kr///wd/141069
632,하드웨어 엔지니어,엘에스엠케이(LSMK),하드웨어 엔지니어,,,서울 서울특별시 송파구 법원로 128 SK V1 GL 메트로시티 A동 907호,,"['C / C++', 'C#', 'C++']",https://www.wanted.co.kr///wd/152183
633,광학기술 개발자,메디트(Medit),하드웨어 엔지니어,2023-06-02,,서울 서울특별시 영등포구 양평로25길 8,,"['Linux', 'Java', 'Python', 'AWS', 'UNIX', 'DevOps', 'Kubernetes']",https://www.wanted.co.kr///wd/149293
634,병역특례 전문연구요원 H/W 엔지니어,에티포스,하드웨어 엔지니어,,,"경기 성남시 분당구 벌말로50번길 41, 투아이센터 4층 405호",,[],https://www.wanted.co.kr///wd/155695
635,의료기기 하드웨어 엔지니어(용인근무),에스지헬스케어,하드웨어 엔지니어,2023-05-31,,"경기 용인시 기흥구중부대로 184, 힉스유타워",,"['MATLAB', '.NET', 'C#', 'Python', 'C', 'C++', 'WPF', 'MFC']",https://www.wanted.co.kr///wd/160599
636,하드웨어 연구원 신입,삼원에프에이,하드웨어 엔지니어,,,부산 부산광역시 해운대구 반송로513번길 66-25,,"['공공 부문', '제안서 작성', '프로젝트 관리']",https://www.wanted.co.kr///wd/161704
